filenames,max_err,max_temp,obs_int,observation,chs,ohs,ohs_int
OE-LFP10Ah-80SOC-cell4,417.2171325683594,48.9299,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,-1
OE-10Ahr-NMC-70SOC-cell7,14852.2158203125,150.2427,7,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,-1
OE-10Ahr-NMC-80SOC-cell8,14852.2158203125,150.2427,7,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",100.0,Very High,4
OE-10Ahr-NMC-80SOC-Cell9,14852.2158203125,150.2427,7,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,-1
OE-10Ahr-NMC-100SOC-cell10,14852.2158203125,150.2427,7,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",100.0,Very High,4
OE-10Ahr-NMC-100SOC-cell11,14852.2158203125,150.2427,7,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,-1
OE-LFP10Ah-100SOC-cell1,394.63623046875,48.47368,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",44.8,Moderate,2
OE-LFP10Ah-100SOC-cell2,278.6494140625,45.22361,2,"No effect, local heating, internal discharge – 2",,,-1
OE-LFP10Ah-100SOC-cell12,516.8377685546875,51.25121,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,-1
Soteria-Control-50SOC,5885.2978515625,105.6331,4,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",,,-1
Soteria-SCC-4160mAh-100SOC-8mm,33.37308883666992,27.97715,1,"No effect, instant local Joule heating, no internal discharge – 1",,,-1
OE-10Ahr-NMC-70SOC-cell6,14852.2158203125,150.2427,7,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,-1
OE-10AHr-NMC-40SOC-Cell4,830.5320434570312,64.76552,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,-1
OE-10Ahr-NMC-40SOC-cell1,1019.681640625,76.32388,4,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",55.0,Moderate,2
OE-10Ahr-NMC-0SOC-cell1,5043.8701171875,99.75447,4,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",37.1,Moderate,2
OE-10Ahr-NMC-0SOC-cell2,4021.78271484375,92.37301,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,-1
OE-LFP10Ah-80SOC-Cell15,637.8822021484375,53.65614,2,"No effect, local heating, internal discharge – 2",,,-1
LFP10Ah-60SOC-Cell17,639.8824462890625,53.6833,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,-1
Soteria-SCC-4720mAh-40SOC,30.139026641845703,27.37152,1,"No effect, instant local Joule heating, no internal discharge – 1",5.0,Very Low,0
Soteria-SCC-4700mAh-100SOC-12mm,32.460227966308594,26.8276,1,"No effect, instant local Joule heating, no internal discharge – 1",,,-1
OE-LFP-cell14-60SOC-10Ah,767.8248901367188,56.15605,2,"No effect, local heating, internal discharge – 2",,,-1
